"ID","Name","Parent","Component","Path","Line","Column","EndLine","EndColumn","CA","CCO","CE","CLLOC","CV","Clone Metric Rules"
"C2944","208~CloneInstance","C552","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/DefaultDateTypeAdapter.java","142","32","153","6","1","4","16","12","1","0"
"C3558","241~CloneInstance","C777","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/main/java/com/google/gson/codegen/JavaWriter.java","383","5","394","6","1","5","8","12","1","0"
"C3559","242~CloneInstance","C777","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/main/java/com/google/gson/codegen/JavaWriter.java","395","5","406","6","1","5","8","12","1","0"
"C4404","413~CloneInstance","C1053","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactory.java","161","3","171","4","1","3","76","11","1","0"
"C4432","419~CloneInstance","C1066","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactory.java","185","5","197","6","1","3","75","13","1","0"
"C4383","403~CloneInstance","C1043","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/typeadapters/UtcDateTypeAdapter.java","76","3","115","4","1","6","10","40","1","1"
"C1205","4~CloneInstance","C124","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/typeadapters/UtcDateTypeAdapter.java","211","7","222","33","1","1","10","12","1","0"
"C4385","406~CloneInstance","C1044","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/typeadapters/UtcDateTypeAdapter.java","143","7","163","28","1","3","44","21","1","0"
"C4295","380~CloneInstance","C1008","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/test/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactoryTest.java","96","3","105","4","1","2","30","10","1","0"
"C4296","381~CloneInstance","C1008","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/test/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactoryTest.java","107","3","116","4","1","2","31","10","1","0"
"C4143","361~CloneInstance","C949","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/test/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactoryTest.java","118","3","129","4","1","2","98","12","1","0"
"C4144","362~CloneInstance","C949","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/test/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactoryTest.java","131","3","142","4","1","2","98","12","1","0"
"C3075","217~CloneInstance","C601","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","137","5","173","24","1","9","24","37","1","1"
"C1179","1~CloneInstance","C115","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","252","5","300","16","1","7","22","49","1","1"
