"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L124","DefaultDateTypeAdapter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/DefaultDateTypeAdapter.java","L123","20","0","0","0","119","166"
"L125","ExclusionStrategy.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/ExclusionStrategy.java","L123","1","0","3","0","5","110"
"L126","FieldAttributes.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/FieldAttributes.java","L123","1","0","9","0","41","162"
"L127","FieldNamingPolicy.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/FieldNamingPolicy.java","L123","8","0","1","0","70","190"
"L128","FieldNamingStrategy.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/FieldNamingStrategy.java","L123","1","0","2","0","5","41"
"L129","Gson.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/Gson.java","L123","49","0","25","5","546","1025"
"L130","GsonBuilder.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/GsonBuilder.java","L123","18","0","26","0","218","628"
"L131","InstanceCreator.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/InstanceCreator.java","L123","1","0","2","0","5","93"
"L132","JsonArray.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonArray.java","L123","22","0","26","5","160","385"
"L133","JsonDeserializationContext.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonDeserializationContext.java","L123","1","0","2","0","5","44"
"L134","JsonDeserializer.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonDeserializer.java","L123","1","0","2","0","6","92"
"L135","JsonElement.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonElement.java","L123","6","0","23","0","97","332"
"L136","JsonIOException.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonIOException.java","L123","1","0","2","2","13","46"
"L137","JsonNull.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonNull.java","L123","2","0","5","0","19","68"
"L138","JsonObject.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonObject.java","L123","6","0","16","2","73","219"
"L139","JsonParseException.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonParseException.java","L123","1","0","4","0","13","65"
"L140","JsonParser.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonParser.java","L123","8","0","4","0","42","94"
"L141","JsonPrimitive.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonPrimitive.java","L123","36","0","19","4","169","346"
"L142","JsonSerializationContext.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonSerializationContext.java","L123","1","0","3","0","6","50"
"L143","JsonSerializer.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonSerializer.java","L123","1","0","2","0","5","90"
"L144","JsonStreamParser.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonStreamParser.java","L123","8","0","6","0","51","123"
"L145","JsonSyntaxException.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonSyntaxException.java","L123","1","0","2","2","13","48"
"L146","LongSerializationPolicy.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/LongSerializationPolicy.java","L123","1","0","2","0","14","59"
"L147","package-info.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/package-info.java","L123","1","0","0","0","1","11"
"L148","TypeAdapter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/TypeAdapter.java","L123","6","0","10","0","70","291"
"L149","TypeAdapterFactory.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/TypeAdapterFactory.java","L123","1","0","2","0","5","171"
"L1814","Expose.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/annotations/Expose.java","L1813","1","0","3","0","13","82"
"L1815","JsonAdapter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/annotations/JsonAdapter.java","L1813","1","0","1","0","15","105"
"L1816","package-info.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/annotations/package-info.java","L1813","1","0","0","0","1","6"
"L1817","SerializedName.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/annotations/SerializedName.java","L1813","1","0","1","0","13","94"
"L1818","Since.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/annotations/Since.java","L1813","1","0","1","0","12","64"
"L1819","Until.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/annotations/Until.java","L1813","1","0","1","0","12","69"
"L2863","$Gson$Preconditions.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/$Gson$Preconditions.java","L2862","3","0","1","2","17","50"
"L2864","$Gson$Types.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/$Gson$Types.java","L2862","87","0","10","3","410","611"
"L2865","ConstructorConstructor.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java","L2862","24","0","1","3","192","239"
"L2866","Excluder.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/Excluder.java","L2862","44","0","1","8","194","261"
"L2867","JsonReaderInternalAccess.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/JsonReaderInternalAccess.java","L2862","1","0","2","0","7","33"
"L2868","LazilyParsedNumber.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LazilyParsedNumber.java","L2862","7","0","2","7","59","97"
"L2869","LinkedHashTreeMap.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","L2862","102","0","3","8","593","865"
"L2870","LinkedTreeMap.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java","L2862","80","0","3","8","441","631"
"L2871","ObjectConstructor.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/ObjectConstructor.java","L2862","1","0","2","0","4","33"
"L2872","package-info.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/package-info.java","L2862","1","0","0","0","1","7"
"L2873","PreJava9DateFormatProvider.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/PreJava9DateFormatProvider.java","L2862","13","0","3","0","54","87"
"L2874","Primitives.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/Primitives.java","L2862","3","0","5","0","51","120"
"L2875","Streams.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/Streams.java","L2862","7","0","3","1","71","121"
"L2876","UnsafeAllocator.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/UnsafeAllocator.java","L2862","6","0","1","2","74","124"
"L6547","package-info.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/reflect/package-info.java","L6546","1","0","0","0","1","6"
"L6548","TypeToken.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/reflect/TypeToken.java","L6546","28","0","10","3","176","321"
"L6714","JsonReader.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/stream/JsonReader.java","L6713","322","0","20","1","1076","1618"
"L6715","JsonScope.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/stream/JsonScope.java","L6713","1","0","0","0","11","72"
"L6716","JsonToken.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/stream/JsonToken.java","L6713","1","0","1","0","13","86"
"L6717","JsonWriter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/stream/JsonWriter.java","L6713","50","0","24","0","319","660"
"L6718","MalformedJsonException.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/stream/MalformedJsonException.java","L6713","1","0","1","3","15","45"
"L7423","VersionUtils.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/util/VersionUtils.java","L7422","3","0","3","0","19","50"
"L3126","ArrayTypeAdapter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/ArrayTypeAdapter.java","L3125","9","0","1","3","69","100"
"L3127","CollectionTypeAdapterFactory.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/CollectionTypeAdapterFactory.java","L3125","6","0","1","2","70","103"
"L3128","DateTypeAdapter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/DateTypeAdapter.java","L3125","9","0","1","3","65","102"
"L3129","JsonAdapterAnnotationTypeAdapterFactory.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/JsonAdapterAnnotationTypeAdapterFactory.java","L3125","10","0","1","2","53","84"
"L3130","JsonTreeReader.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/JsonTreeReader.java","L3125","45","0","1","19","258","321"
"L3131","JsonTreeWriter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/JsonTreeWriter.java","L3125","26","0","2","15","157","209"
"L3132","MapTypeAdapterFactory.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/MapTypeAdapterFactory.java","L3125","23","0","1","2","160","265"
"L3133","ObjectTypeAdapter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/ObjectTypeAdapter.java","L3125","12","0","1","2","74","110"
"L3134","ReflectiveTypeAdapterFactory.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java","L3125","31","0","1","6","209","255"
"L3135","SqlDateTypeAdapter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/SqlDateTypeAdapter.java","L3125","5","0","1","2","40","68"
"L3136","TimeTypeAdapter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TimeTypeAdapter.java","L3125","5","0","1","2","39","67"
"L3137","TreeTypeAdapter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TreeTypeAdapter.java","L3125","13","0","4","3","117","166"
"L3138","TypeAdapterRuntimeTypeWrapper.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapterRuntimeTypeWrapper.java","L3125","8","0","0","0","47","83"
"L3139","TypeAdapters.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java","L3125","113","0","2","4","807","908"
