file,class,method,variable,usage
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitivesDeserializationBenchmark.java,com.google.gson.metrics.BagOfPrimitivesDeserializationBenchmark,timeBagOfPrimitivesStreaming/1[int],json,1
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitivesDeserializationBenchmark.java,com.google.gson.metrics.BagOfPrimitivesDeserializationBenchmark,timeBagOfPrimitivesDefault/1[int],json,1
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitivesDeserializationBenchmark.java,com.google.gson.metrics.BagOfPrimitivesDeserializationBenchmark,timeBagOfPrimitivesDefault/1[int],gson,1
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitivesDeserializationBenchmark.java,com.google.gson.metrics.BagOfPrimitivesDeserializationBenchmark,timeBagOfPrimitivesReflectionStreaming/1[int],json,1
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitivesDeserializationBenchmark.java,com.google.gson.metrics.BagOfPrimitivesDeserializationBenchmark,setUp/0,json,1
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitivesDeserializationBenchmark.java,com.google.gson.metrics.BagOfPrimitivesDeserializationBenchmark,setUp/0,gson,2
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/SerializationBenchmark.java,com.google.gson.metrics.SerializationBenchmark,timeObjectSerialization/1[int],bag,1
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/SerializationBenchmark.java,com.google.gson.metrics.SerializationBenchmark,timeObjectSerialization/1[int],gson,1
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/SerializationBenchmark.java,com.google.gson.metrics.SerializationBenchmark,setUp/0,pretty,1
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/SerializationBenchmark.java,com.google.gson.metrics.SerializationBenchmark,setUp/0,bag,1
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/SerializationBenchmark.java,com.google.gson.metrics.SerializationBenchmark,setUp/0,gson,1
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java,com.google.gson.metrics.BagOfPrimitives,"BagOfPrimitives/4[long,int,boolean,java.lang.String]",stringValue,3
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java,com.google.gson.metrics.BagOfPrimitives,"BagOfPrimitives/4[long,int,boolean,java.lang.String]",intValue,3
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java,com.google.gson.metrics.BagOfPrimitives,"BagOfPrimitives/4[long,int,boolean,java.lang.String]",booleanValue,3
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java,com.google.gson.metrics.BagOfPrimitives,"BagOfPrimitives/4[long,int,boolean,java.lang.String]",longValue,3
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java,com.google.gson.metrics.BagOfPrimitives,getIntValue/0,intValue,1
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java,com.google.gson.metrics.BagOfPrimitives,hashCode/0,stringValue,2
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java,com.google.gson.metrics.BagOfPrimitives,hashCode/0,intValue,1
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java,com.google.gson.metrics.BagOfPrimitives,hashCode/0,booleanValue,1
