file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitivesDeserializationBenchmark.java,com.google.gson.metrics.BagOfPrimitivesDeserializationBenchmark,main/1[java.lang.String[]],false,39,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitivesDeserializationBenchmark.java,com.google.gson.metrics.BagOfPrimitivesDeserializationBenchmark,timeBagOfPrimitivesStreaming/1[int],false,62,2,7,9,31,0,8,1,9,0,0,2,0,0,0,5,3,12,1,3,0,0,0,31,1,0,true
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitivesDeserializationBenchmark.java,com.google.gson.metrics.BagOfPrimitivesDeserializationBenchmark,timeBagOfPrimitivesDefault/1[int],false,53,2,2,1,5,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,15,1,0,true
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitivesDeserializationBenchmark.java,com.google.gson.metrics.BagOfPrimitivesDeserializationBenchmark,timeBagOfPrimitivesReflectionStreaming/1[int],false,95,2,9,17,32,0,6,1,17,0,0,3,0,0,0,2,1,6,1,5,0,0,0,48,1,0,true
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitivesDeserializationBenchmark.java,com.google.gson.metrics.BagOfPrimitivesDeserializationBenchmark,setUp/0,false,44,2,1,1,5,0,1,0,1,0,0,0,0,0,0,1,2,3,0,0,0,0,0,8,4,0,false
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/SerializationBenchmark.java,com.google.gson.metrics.SerializationBenchmark,timeObjectSerialization/1[int],false,48,1,2,1,5,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,6,1,0,false
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/SerializationBenchmark.java,com.google.gson.metrics.SerializationBenchmark,main/1[java.lang.String[]],false,38,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/SerializationBenchmark.java,com.google.gson.metrics.SerializationBenchmark,setUp/0,false,43,3,2,2,4,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,9,4,0,false
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java,com.google.gson.metrics.BagOfPrimitives,"BagOfPrimitives/4[long,int,boolean,java.lang.String]",true,34,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,1,0,false
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java,com.google.gson.metrics.BagOfPrimitives,getIntValue/0,false,41,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java,com.google.gson.metrics.BagOfPrimitives,hashCode/0,false,57,0,3,1,9,1,2,0,1,0,0,0,1,0,5,0,6,6,9,0,0,0,0,10,1,0,false
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java,com.google.gson.metrics.BagOfPrimitives,equals/1[java.lang.Object],false,68,1,10,2,14,9,1,1,2,0,0,0,8,0,0,0,0,1,0,2,0,0,0,17,1,0,false
