file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitivesDeserializationBenchmark.java,com.google.gson.metrics.BagOfPrimitivesDeserializationBenchmark,class,5,20,2,20,0,0.6,0.6,5,1,4,0,1,0,5,0,0,0,2,0,0,2,0,0,0,0,0,80,0,6,0,0,0,8,7,22,2,18,5,0,0,0,81,1,0
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/SerializationBenchmark.java,com.google.gson.metrics.SerializationBenchmark,class,6,5,2,4,1,0.33333334,0.33333334,3,1,2,0,1,0,3,0,0,0,3,0,0,3,0,0,0,0,0,17,0,1,0,0,0,1,3,3,0,4,1,0,0,0,31,1,0
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java,com.google.gson.metrics.BagOfPrimitives,class,1,16,1,9,0,0.71428573,0.71428573,7,0,7,0,0,0,7,0,0,0,5,1,5,0,0,0,1,0,1,56,12,0,9,0,5,12,8,13,9,9,1,0,0,0,45,1,0
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/CollectionsDeserializationBenchmark.java,com.google.gson.metrics.CollectionsDeserializationBenchmark,class,6,23,2,24,0,0.6,0.6,5,1,4,0,1,0,5,0,0,0,3,1,0,3,0,0,1,0,0,97,0,9,0,0,0,8,9,26,2,22,6,1,0,0,85,1,0
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/CollectionsDeserializationBenchmark.java,com.google.gson.metrics.CollectionsDeserializationBenchmark$Anonymous1,anonymous,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,com.google.gson.metrics.ParseBenchmark$JacksonStreamParser,innerclass,5,10,1,7,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,0,0,0,0,2,3,0,3,2,0,0,0,16,10,0
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,com.google.gson.metrics.ParseBenchmark$Link,innerclass,1,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,8,0
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,com.google.gson.metrics.ParseBenchmark$Document$Anonymous3,anonymous,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,com.google.gson.metrics.ParseBenchmark$Document$Anonymous1,anonymous,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/Users/ahmedalasifer/Desktop/FIT4003/extract/src/outputs/gson/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java,com.google.gson.metrics.ParseBenchmark$GsonBindParser,innerclass,5,1,1,3,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,16,10,0
