"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Security Rules"
"L5456","SIMPLE_NAME","com.google.gson.DefaultDateTypeAdapter.SIMPLE_NAME;Ljava/lang/String;","L5454","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/DefaultDateTypeAdapter.java","46","3","46","70","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5457","dateType","com.google.gson.DefaultDateTypeAdapter.dateType;Ljava/lang/Class;","L5454","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/DefaultDateTypeAdapter.java","48","3","48","48","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5461","dateFormats","com.google.gson.DefaultDateTypeAdapter.dateFormats;Ljava/util/List;","L5454","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/DefaultDateTypeAdapter.java","54","3","54","76","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5511","field","com.google.gson.FieldAttributes.field;Ljava/lang/reflect/Field;","L4297","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/FieldAttributes.java","37","3","37","29","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5559","IDENTITY","com.google.gson.FieldNamingPolicy.IDENTITY;Lcom/google/gson/FieldNamingPolicy;","L5551","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/FieldNamingPolicy.java","37","3","41","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5566","UPPER_CAMEL_CASE","com.google.gson.FieldNamingPolicy.UPPER_CAMEL_CASE;Lcom/google/gson/FieldNamingPolicy;","L5551","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/FieldNamingPolicy.java","53","3","57","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5574","UPPER_CAMEL_CASE_WITH_SPACES","com.google.gson.FieldNamingPolicy.UPPER_CAMEL_CASE_WITH_SPACES;Lcom/google/gson/FieldNamingPolicy;","L5551","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/FieldNamingPolicy.java","72","3","76","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5582","LOWER_CASE_WITH_UNDERSCORES","com.google.gson.FieldNamingPolicy.LOWER_CASE_WITH_UNDERSCORES;Lcom/google/gson/FieldNamingPolicy;","L5551","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/FieldNamingPolicy.java","90","3","94","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5592","LOWER_CASE_WITH_DASHES","com.google.gson.FieldNamingPolicy.LOWER_CASE_WITH_DASHES;Lcom/google/gson/FieldNamingPolicy;","L5551","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/FieldNamingPolicy.java","113","3","117","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5598","LOWER_CASE_WITH_DOTS","com.google.gson.FieldNamingPolicy.LOWER_CASE_WITH_DOTS;Lcom/google/gson/FieldNamingPolicy;","L5551","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/FieldNamingPolicy.java","136","3","140","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5625","DEFAULT_JSON_NON_EXECUTABLE","com.google.gson.Gson.DEFAULT_JSON_NON_EXECUTABLE;Z","L580","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/Gson.java","106","3","106","60","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5626","DEFAULT_LENIENT","com.google.gson.Gson.DEFAULT_LENIENT;Z","L580","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/Gson.java","107","3","107","48","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5627","DEFAULT_PRETTY_PRINT","com.google.gson.Gson.DEFAULT_PRETTY_PRINT;Z","L580","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/Gson.java","108","3","108","53","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5628","DEFAULT_ESCAPE_HTML","com.google.gson.Gson.DEFAULT_ESCAPE_HTML;Z","L580","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/Gson.java","109","3","109","51","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5629","DEFAULT_SERIALIZE_NULLS","com.google.gson.Gson.DEFAULT_SERIALIZE_NULLS;Z","L580","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/Gson.java","110","3","110","56","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5630","DEFAULT_COMPLEX_MAP_KEYS","com.google.gson.Gson.DEFAULT_COMPLEX_MAP_KEYS;Z","L580","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/Gson.java","111","3","111","57","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5631","DEFAULT_SPECIALIZE_FLOAT_VALUES","com.google.gson.Gson.DEFAULT_SPECIALIZE_FLOAT_VALUES;Z","L580","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/Gson.java","112","3","112","64","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5632","NULL_KEY_SURROGATE","com.google.gson.Gson.NULL_KEY_SURROGATE;Lcom/google/gson/reflect/TypeToken;","L580","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/Gson.java","114","3","114","86","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5633","JSON_NON_EXECUTABLE_PREFIX","com.google.gson.Gson.JSON_NON_EXECUTABLE_PREFIX;Ljava/lang/String;","L580","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/Gson.java","115","3","115","69","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5634","calls","com.google.gson.Gson.calls;Ljava/lang/ThreadLocal;","L580","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/Gson.java","124","3","125","68","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5648","typeTokenCache","com.google.gson.Gson.typeTokenCache;Ljava/util/Map;","L580","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/Gson.java","127","3","127","122","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5655","constructorConstructor","com.google.gson.Gson.constructorConstructor;Lcom/google/gson/internal/ConstructorConstructor;","L580","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/Gson.java","129","3","129","63","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5656","jsonAdapterFactory","com.google.gson.Gson.jsonAdapterFactory;Lcom/google/gson/internal/bind/JsonAdapterAnnotationTypeAdapterFactory;","L580","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/Gson.java","130","3","130","76","0","0","0","0","0","0","0","0","0","0","0","0","0"
