"ID","Name","Component","CA","CCO","CE","CEE","CEG","CI","CLLOC","CR","CV","NCR","Clone Metric Rules"
"C115","0~CloneClass","L103","1","14","45","8.18182","15.5556","2","50","127.273","1","0.0909091","2"
"C125","3~CloneClass","L103","1","2","21","38.1818","1.14286","2","12","43.6364","1","0.909091","1"
"C142","6~CloneClass","L103","1","12","85","15.4545","2.11765","4","15","32.7273","1","0.0454545","2"
"C154","11~CloneClass","L103","1","6","41","3.72727","2.04878","2","14","7.63636","1","0.0454545","0"
"C261","14~CloneClass","L103","1","12","18","27.8182","7.33333","2","11","204","1","0.772727","2"
"C264","17~CloneClass","L103","1","10","19","1.72727","7.10526","2","13.5","12.2727","1","0.0454545","0"
"C268","20~CloneClass","L103","1","18","115","31.3636","2.03478","6","13","63.8182","1","0.0454545","3"
"C269","27~CloneClass","L103","1","12","89","16.1818","2.1573","4","16","34.9091","1","0.0454545","2"
"C271","32~CloneClass","L103","1","6","37","16.8182","1.78378","2","11","30","1","0.227273","1"
"C273","35~CloneClass","L103","1","35","161","175.636","4.34783","7","20","763.636","1","0.155844","4"
"C274","43~CloneClass","L103","1","24","83","45.2727","7.22892","4","25","327.273","1","0.136364","2"
"C320","48~CloneClass","L103","1","10","43","19.5455","5.23256","2","22.5","102.273","1","0.227273","1"
"C333","51~CloneClass","L103","1","6","209","57","0.488038","6","17","27.8182","1","0.0454545","2"
"C334","58~CloneClass","L103","1","7","239","76.0455","0.447699","7","15.2857","34.0455","1","0.0454545","2"
"C335","66~CloneClass","L103","1","7","225","71.5909","0.4","7","12.8571","28.6364","1","0.0454545","2"
"C336","74~CloneClass","L103","1","9","273","111.682","0.358974","9","10.8889","40.0909","1","0.0454545","2"
"C344","84~CloneClass","L103","1","6","39","17.7273","1.84615","2","12","32.7273","1","0.227273","1"
"C345","87~CloneClass","L103","1","14","47","4.27273","9.38298","2","31.5","40.0909","1","0.0454545","1"
"C346","90~CloneClass","L103","1","20","109","75.9697","3.89908","4","21.25","296.212","1","0.174242","4"
"C347","95~CloneClass","L103","1","8","54","24.5455","2.37037","2","16","58.1818","1","0.227273","1"
"C348","98~CloneClass","L103","1","8","54","24.5455","2.37037","2","16","58.1818","1","0.227273","1"
"C359","101~CloneClass","L103","1","10","37","3.36364","5.13514","2","19","17.2727","1","0.0454545","0"
"C437","104~CloneClass","L103","1","3","134","18.2727","0.544776","3","24.3333","9.95455","1","0.0454545","2"
"C438","108~CloneClass","L103","1","2","101","9.18182","0.643564","2","32.5","5.90909","1","0.0454545","0"
"C441","111~CloneClass","L103","1","2","97","8.81818","0.628866","2","30.5","5.54545","1","0.0454545","0"
"C442","114~CloneClass","L103","1","2","93","8.45455","0.602151","2","28","5.09091","1","0.0454545","0"
"C443","117~CloneClass","L103","1","2","89","8.09091","0.58427","2","26","4.72727","1","0.0454545","0"
"C444","120~CloneClass","L103","1","3","128","17.4545","0.523438","3","22.3333","9.13636","1","0.0454545","2"
"C445","124~CloneClass","L103","1","4","153","27.8182","0.496732","4","19","13.8182","1","0.0454545","2"
"C446","129~CloneClass","L103","1","6","203","55.3636","0.482759","6","16.3333","26.7273","1","0.0454545","2"
"C447","136~CloneClass","L103","1","7","232","73.8182","0.431034","7","14.2857","31.8182","1","0.0454545","2"
"C448","144~CloneClass","L103","1","8","243","88.3636","0.399177","8","12.125","35.2727","1","0.0454545","2"
"C464","153~CloneClass","L103","1","20","49","14.8485","7.7551","4","19","115.152","1","0.0757576","2"
"C468","158~CloneClass","L103","1","14","17","1.54545","11.5294","2","14","17.8182","1","0.0454545","1"
"C472","161~CloneClass","L103","1","6","99","162","0.727273","2","12","117.818","1","0.818182","1"
"C475","164~CloneClass","L103","1","10","41","18.6364","5.12195","2","21","95.4546","1","0.227273","1"
"C476","167~CloneClass","L103","1","10","71","32.2727","3.09859","2","22","100","1","0.227273","1"
"C477","170~CloneClass","L103","1","14","45","4.09091","9.33333","2","30","38.1818","1","0.0454545","1"
"C481","173~CloneClass","L103","1","36","192","259.636","2.8125","9","15","730.227","1","0.150253","4"
"C482","183~CloneClass","L103","1","48","315","740.727","1.52381","16","10","1128.73","1","0.14697","3"
"C483","200~CloneClass","L103","1","6","50","22.7273","1.2","2","10","27.2727","1","0.227273","1"
"C484","203~CloneClass","L103","1","6","50","22.7273","1.2","2","10","27.2727","1","0.227273","1"
"C487","206~CloneClass","L103","1","4","39","3.54545","1.33333","2","13","4.72727","1","0.0454545","0"
"C554","209~CloneClass","L103","1","8","31","11.2727","3.09677","2","12","34.9091","1","0.181818","1"
"C564","212~CloneClass","L103","1","48","4","0.545455","192","3","16","104.727","1","0.0454545","2"
"C576","216~CloneClass","L103","1","10","225","20.4545","0.533333","2","12","10.9091","1","0.0454545","1"
"C605","219~CloneClass","L103","1","18","49","8.90909","13.5918","2","37","121.091","1","0.0909091","2"
"C638","222~CloneClass","L103","1","2","35","3.18182","1.02857","2","18","3.27273","1","0.0454545","0"
"C647","225~CloneClass","L103","1","6","67","6.09091","0.985075","2","11","6","1","0.0454545","0"
"C692","228~CloneClass","L103","1","2","59","5.36364","0.338983","2","10","1.81818","1","0.0454545","0"
"C712","231~CloneClass","L103","1","2","139","25.2727","0.172662","2","12","4.36364","1","0.0909091","1"
"C731","234~CloneClass","L103","1","32","7","0.636364","77.7143","2","17","49.4545","1","0.0454545","1"
"C741","237~CloneClass","L103","1","12","61","11.0909","3.93443","2","20","43.6364","1","0.0909091","1"
"C742","240~CloneClass","L103","1","16","58","10.5455","6.06897","2","22","64","1","0.0909091","1"
"C798","243~CloneClass","L103","1","10","17","1.54545","7.05882","2","12","10.9091","1","0.0454545","0"
"C805","246~CloneClass","L103","1","6","57","5.18182","1.05263","2","10","5.45455","1","0.0454545","0"
"C809","249~CloneClass","L103","1","6","25","2.27273","2.4","2","10","5.45455","1","0.0454545","0"
"C812","252~CloneClass","L103","1","2","33","3","1.15152","2","19","3.45455","1","0.0454545","0"
"C814","255~CloneClass","L103","1","2","53","4.81818","1.26415","2","33.5","6.09091","1","0.0454545","1"
"C815","258~CloneClass","L103","1","3","99","13.5","0.767677","3","25.3333","10.3636","1","0.0454545","1"
"C816","262~CloneClass","L103","1","6","271","24.6364","0.287823","2","13","7.09091","1","0.0454545","1"
"C821","265~CloneClass","L103","1","6","11","18","5.45455","2","10","98.1818","1","0.818182","1"
"C823","268~CloneClass","L103","1","6","7","1.27273","10.2857","2","12","13.0909","1","0.0909091","0"
"C831","271~CloneClass","L103","1","6","263","23.9091","0.250951","2","11","6","1","0.0454545","1"
"C839","274~CloneClass","L103","1","6","39","3.54545","1.84615","2","12","6.54545","1","0.0454545","0"
"C840","277~CloneClass","L103","1","6","39","3.54545","1.69231","2","11","6","1","0.0454545","0"
"C869","280~CloneClass","L103","1","2","141","12.8182","0.156028","2","11","2","1","0.0454545","1"
"C875","283~CloneClass","L103","1","2","53","4.81818","0.415094","2","11","2","1","0.0454545","0"
"C884","286~CloneClass","L103","1","2","65","5.90909","0.338462","2","11","2","1","0.0454545","0"
"C887","289~CloneClass","L103","1","4","32","2.90909","1.25","2","10","3.63636","1","0.0454545","0"
"C888","292~CloneClass","L103","1","4","29","2.63636","1.65517","2","12","4.36364","1","0.0454545","0"
"C891","295~CloneClass","L103","1","6","43","5.86364","1.53488","3","11","9","1","0.0454545","1"
"C899","299~CloneClass","L103","1","6","29","5.27273","3.10345","2","15","16.3636","1","0.0909091","0"
"C903","302~CloneClass","L103","1","4","45","4.09091","0.888889","2","10","3.63636","1","0.0454545","0"
"C906","305~CloneClass","L103","1","10","37","3.36364","9.45946","2","35","31.8182","1","0.0454545","1"
