"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Clone Metric Rules","Code Style Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L5463","DefaultDateTypeAdapter(Class<? extends Date> dateType)","com.google.gson.DefaultDateTypeAdapter.<init>(Ljava/lang/Class;)V","L5454","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/DefaultDateTypeAdapter.java","56","3","65","4","0","0","0","0","0","0","0","0","131.606","31.25","12849.9","548.615","83","31","713.886","411.198","101.709","59.4789","71.3396","41.719","3","1","1","7","3","0","0","0","0","0","10","10","6","1","10","10","6","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L5469","DefaultDateTypeAdapter(Class<? extends Date> dateType, String datePattern)","com.google.gson.DefaultDateTypeAdapter.<init>(Ljava/lang/Class;Ljava/lang/String;)V","L5454","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/DefaultDateTypeAdapter.java","67","3","73","4","0","0","0","0","0","0","0","0","119.552","21.0833","5530.81","312.747","54","29","307.267","262.331","110.054","64.3592","83.2776","48.7003","2","1","1","3","1","0","0","0","0","0","7","7","4","2","7","7","4","0","0","2","0","1","0","0","0","0","0","0","2","0","1","0","0","0","0","0"
"L5474","DefaultDateTypeAdapter(Class<? extends Date> dateType, int style)","com.google.gson.DefaultDateTypeAdapter.<init>(Ljava/lang/Class;I)V","L5454","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/DefaultDateTypeAdapter.java","75","3","84","4","0","0","0","0","0","0","0","0","137.721","28.1667","9858.33","459.765","70","32","547.685","350","102.547","59.9689","72.5485","42.426","3","1","1","4","3","0","0","0","0","0","10","10","6","2","10","10","6","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L5482","DefaultDateTypeAdapter(int dateStyle, int timeStyle)","com.google.gson.DefaultDateTypeAdapter.<init>(II)V","L5454","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/DefaultDateTypeAdapter.java","86","3","88","4","0","0","0","0","0","0","0","0","19.6096","3.75","142.647","27.3007","12","9","7.92481","38.0391","134.052","78.3928","117.797","68.8869","1","0","0","3","1","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L5485","DefaultDateTypeAdapter(Class<? extends Date> dateType, int dateStyle, int timeStyle)","com.google.gson.DefaultDateTypeAdapter.<init>(Ljava/lang/Class;II)V","L5454","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/DefaultDateTypeAdapter.java","90","3","99","4","0","0","0","0","0","0","0","0","148.033","32.7857","12676.5","543.667","76","34","704.25","386.647","102.029","59.6661","71.8014","41.9891","3","1","1","2","3","0","0","0","0","0","10","10","6","3","10","10","6","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L5466","Class<? extends Date> verifyDateType(Class<? extends Date> dateType)","com.google.gson.DefaultDateTypeAdapter.verifyDateType(Ljava/lang/Class;)Ljava/lang/Class;","L5454","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/DefaultDateTypeAdapter.java","101","3","106","4","0","0","0","0","0","0","0","0","147.061","16.2917","5264.57","302.628","63","35","292.476","323.145","111.007","64.9166","84.8562","49.6235","4","1","1","4","0","0","0","0","0","0","6","6","3","1","6","6","3","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L5491","void write(JsonWriter out, Date value)","com.google.gson.DefaultDateTypeAdapter.write(Lcom/google/gson/stream/JsonWriter;Ljava/util/Date;)V","L5454","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/DefaultDateTypeAdapter.java","110","3","120","4","0","0","0","0","0","0","0","0","117.759","20.4286","4465.87","271.188","45","29","248.104","218.609","103.68","60.6317","102.628","60.0166","2","1","1","0","2","0.153846","2","2","0.153846","2","11","11","6","2","11","11","6","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L5496","Date read(JsonReader in)","com.google.gson.DefaultDateTypeAdapter.read(Lcom/google/gson/stream/JsonReader;)Ljava/util/Date;","L5454","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/DefaultDateTypeAdapter.java","122","3","139","4","0","0","0","0","0","0","0","0","188.529","30.2222","15382.1","618.507","95","41","854.563","508.967","91.5435","53.5342","74.7321","43.703","5","3","1","0","4","0.0555556","1","0","0.0555556","1","17","18","11","1","17","18","11","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L5498","Date deserializeToDate(String s)","com.google.gson.DefaultDateTypeAdapter.deserializeToDate(Ljava/lang/String;)Ljava/util/Date;","L5454","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/DefaultDateTypeAdapter.java","141","3","154","4","0.863636","1","4","1","0.857143","0.857143","12","12","129.691","22.2857","5409.98","308.175","49","31","300.555","242.756","98.7686","57.7594","67.1994","39.2979","4","2","2","1","2","0","0","0","0","0","14","14","7","1","14","14","7","0","0","8","0","0","0","6","0","0","0","0","2","0","0","0","0","0","0","0"
"L5501","String toString()","com.google.gson.DefaultDateTypeAdapter.toString()Ljava/lang/String;","L5454","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/DefaultDateTypeAdapter.java","156","3","164","4","0","0","0","0","0","0","0","0","120.768","15.1667","3721.06","240.129","50","30","206.725","245.345","106.331","62.1819","77.9062","45.5592","2","1","1","0","0","0","0","0","0","0","9","9","4","0","9","9","4","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
